,bacc,animal,genotype,condition,classifier,cell,trial,equal_bacc_sample,cell_trial,cond
0,0.5999237223493517,2,WT,Veh,NB,10,,True,c10,WT-Veh
0,0.6961729697152328,3,WT,Veh,NB,10,,True,c10,WT-Veh
0,0.6442735042735043,4,WT,Veh,NB,10,,True,c10,WT-Veh
0,0.5999626307922272,5,WT,Veh,NB,10,,True,c10,WT-Veh
0,0.6805829066561638,6,WT,Veh,NB,10,,True,c10,WT-Veh
0,0.6071166544387381,7,WT,Veh,NB,10,,True,c10,WT-Veh
0,0.578018500486855,8,WT,Veh,NB,10,,True,c10,WT-Veh
0,0.6677710045056984,9,WT,Veh,NB,10,,True,c10,WT-Veh
0,0.6644957983193277,10,WT,GluA2,NB,10,,True,c10,WT-GluA2
0,0.6308510638297873,11,WT,GluA2,NB,10,,True,c10,WT-GluA2
0,0.6198897128731697,12,WT,GluA2,NB,10,,True,c10,WT-GluA2
0,0.7275557861961599,13,WT,GluA2,NB,10,,True,c10,WT-GluA2
0,0.6476439790575916,14,WT,GluA2,NB,10,,True,c10,WT-GluA2
0,0.6780564263322884,15,WT,GluA2,NB,10,,True,c10,WT-GluA2
0,0.6075742325113236,16,WT,GluA2,NB,10,,True,c10,WT-GluA2
0,0.5,17,Tg,Veh,NB,10,,True,c10,Tg-Veh
0,0.585724406659582,18,Tg,Veh,NB,10,,True,c10,Tg-Veh
0,0.7058080808080809,19,Tg,Veh,NB,10,,True,c10,Tg-Veh
0,0.5105608157319738,20,Tg,Veh,NB,10,,True,c10,Tg-Veh
0,0.513874614594039,21,Tg,Veh,NB,10,,True,c10,Tg-Veh
