animal,condition,genotype,bacc,classifier,full_cond,sc_type
3,Veh,Tg,0.612997890479014,gSVM_sc,Tg-Veh,sc
7,Veh,Tg,0.867656037991859,gSVM_sc,Tg-Veh,sc
8,Veh,Tg,0.6900675012166634,gSVM_sc,Tg-Veh,sc
12,Veh,Tg,0.5161443320371449,gSVM_sc,Tg-Veh,sc
13,Veh,Tg,0.7345097674432675,gSVM_sc,Tg-Veh,sc
16,Veh,Tg,0.5436625643275895,gSVM_sc,Tg-Veh,sc
14,GluA2,Tg,0.715551179175148,gSVM_sc,Tg-GluA2,sc
15,GluA2,Tg,0.7653511887246197,gSVM_sc,Tg-GluA2,sc
23,GluA2,Tg,0.7764407633751271,gSVM_sc,Tg-GluA2,sc
24,GluA2,Tg,0.5945023476218759,gSVM_sc,Tg-GluA2,sc
25,GluA2,Tg,0.7208876408860951,gSVM_sc,Tg-GluA2,sc
26,GluA2,Tg,0.7079710693084249,gSVM_sc,Tg-GluA2,sc
29,GluA2,Tg,0.7227005778156673,gSVM_sc,Tg-GluA2,sc
