animal,name,cond,condition,genotype,should_include,bacc,classifier,model
17,gSVM_c25_t500_sc,WT-Veh,Veh,WT,True,0.8128921236634176,gSVM,sc
18,LDA_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.569051811083632,LDA,sc
18,NB_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.7183009881598861,NB,sc
18,NN_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.7704740890299271,NN,sc
18,QDA_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.7410377375133806,QDA,sc
18,gSVM_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.7795163097406814,gSVM,sc
19,LDA_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.6750636084842407,LDA,sc
19,NB_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.6915843546061249,NB,sc
19,NN_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.753049965601278,NN,sc
19,QDA_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.7131863633360153,QDA,sc
19,gSVM_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.7390686147615216,gSVM,sc
20,LDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.6360106097649394,LDA,sc
20,NB_c25_t500_sc,WT-Veh,Veh,WT,True,0.6230276370977739,NB,sc
20,NN_c25_t500_sc,WT-Veh,Veh,WT,True,0.6628784761606191,NN,sc
20,QDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.6387851521610184,QDA,sc
20,gSVM_c25_t500_sc,WT-Veh,Veh,WT,True,0.6531208728267058,gSVM,sc
21,LDA_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.6846188345017232,LDA,sc
21,NB_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.6910671544894056,NB,sc
21,NN_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.7362068120558687,NN,sc
21,QDA_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.7063630355042196,QDA,sc
21,gSVM_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.7312870502590737,gSVM,sc
22,LDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.592644742677055,LDA,sc
22,NB_c25_t500_sc,WT-Veh,Veh,WT,True,0.6090536339997801,NB,sc
